tweet_ID,retweet_count,favorite_count
756939218950160384,2283,7306
756651752796094464,1503,5588
756526248105566208,4141,11463
756303284449767430,1224,4345
756288534030475264,14970,28385
756275833623502848,1733,7090
755955933503782912,3274,8064
755206590534418437,6120,18131
755110668769038337,12554,23353
754874841593970688,9140,0
754856583969079297,2856,7578
754747087846248448,589,2841
754482103782404096,2209,5826
754449512966619136,840,4132
754120377874386944,2655,8628
754011816964026368,4064,9683
753655901052166144,2482,6424
753420520834629632,4049,8690
753398408988139520,2174,6357
753375668877008896,2644,8365
753298634498793472,6576,0
753294487569522689,1183,3740
753039830821511168,23870,40913
753026973505581056,1103,4259
752932432744185856,7746,13903
752917284578922496,1781,7551
752701944171524096,3273,0
752682090207055872,1829,6621
752660715232722944,1784,4860
752568224206688256,2588,6110
752519690950500352,3895,8116
752334515931054080,1258,4213
752309394570878976,18880,0
752173152931807232,2097,6548
751950017322246144,1049,3397
751937170840121344,1516,5746
751830394383790080,2213,6394
751793661361422336,3299,6448
751598357617971201,3419,8665
751583847268179968,1260,4837
751538714308972544,1437,5526
751456908746354688,1120,3501
751251247299190784,6657,13727
751205363882532864,2074,6920
751132876104687617,1475,5595
750868782890057730,1585,5287
750719632563142656,5720,14563
750506206503038976,1309,4909
750429297815552001,4915,14506
750383411068534784,1300,4984
750381685133418496,37,753
750147208377409536,1091,3399
750132105863102464,1430,3977
750117059602808832,1458,4725
750101899009982464,953,3336
750086836815486976,612,2375
750071704093859840,3782,8618
750056684286914561,1006,3429
750041628174217216,701,3484
750026558547456000,884,2973
750011400160841729,1030,3553
749996283729883136,913,3319
749981277374128128,2769,5594
749774190421639168,1489,5092
749417653287129088,1891,6688
749403093750648834,617,2878
749395845976588288,3927,9457
749317047558017024,2496,6038
749075273010798592,2349,6332
749064354620928000,1708,5259
749036806121881602,893,3411
748977405889503236,3746,11187
748932637671223296,2555,6425
748705597323898880,1059,3028
748699167502000129,1810,5190
748692773788876800,1496,4635
748575535303884801,2258,6663
748568946752774144,771,2399
748346686624440324,1404,5709
748337862848962560,4673,8415
748324050481647620,865,4059
748307329658011649,805,4009
748220828303695873,8775,15471
747963614829678593,2433,6360
747933425676525569,2881,7266
747885874273214464,1112,3226
747844099428986880,846,3070
747816857231626240,1309,5316
747651430853525504,177,1510
747648653817413632,6577,14119
747600769478692864,615,2536
747594051852075008,1199,4043
747512671126323200,1796,6085
747461612269887489,1165,4238
747439450712596480,2175,5942
747242308580548608,3244,0
747219827526344708,1779,5766
747204161125646336,1033,3706
747103485104099331,4527,10495
746906459439529985,334,3158
746872823977771008,2418,6556
746818907684614144,1933,5785
746790600704425984,1800,5322
746757706116112384,4411,10466
746726898085036033,2028,6622
746542875601690625,2095,5497
746521445350707200,1103,0
746507379341139972,1222,5074
746369468511756288,1846,6611
